"job_title","company_name","location","experience","salary","skills","job_description"
"Graphic Designer","Infosys","Coimbatore","1-3 years","6 LPA","Photoshop;Illustrator","Graphic Designer needed at Infosys in Coimbatore. Skills required: Photoshop;Illustrator. Immediate joiner preferred."
"Graphic Designer","TVS Motor","Chennai","1-3 years","6 LPA","Photoshop;Illustrator","Graphic Designer needed at TVS Motor in Chennai. Skills required: Photoshop;Illustrator. Immediate joiner preferred."
"HR Executive","Ashok Leyland","Coimbatore","2-4 years","5 LPA","Recruitment;Communication","HR Executive needed at Ashok Leyland in Coimbatore. Skills required: Recruitment;Communication. Immediate joiner preferred."
"HR Executive","Freshworks","Coimbatore","2-4 years","3 LPA","Recruitment;Communication","HR Executive needed at Freshworks in Coimbatore. Skills required: Recruitment;Communication. Immediate joiner preferred."
"HR Executive","Infosys","Tirunelveli","0-1 years","3 LPA","Recruitment;Communication","HR Executive needed at Infosys in Tirunelveli. Skills required: Recruitment;Communication. Immediate joiner preferred."
"HR Executive","Sundaram Finance","Salem","0-1 years","5 LPA","Recruitment;Communication","HR Executive needed at Sundaram Finance in Salem. Skills required: Recruitment;Communication. Immediate joiner preferred."
"HR Executive","TCS","Tiruchirappalli","1-3 years","4 LPA","Recruitment;Communication","HR Executive needed at TCS in Tiruchirappalli. Skills required: Recruitment;Communication. Immediate joiner preferred."
"HR Executive","Zoho","Vellore","2-4 years","6 LPA","Recruitment;Communication","HR Executive needed at Zoho in Vellore. Skills required: Recruitment;Communication. Immediate joiner preferred."
"HR Manager","MRF","Chennai","5-8 years","10 LPA","recruitment;employee relations;policy","HR Manager role overseeing hiring, performance, and employee engagement."
"Lab Technician","HCLTech","Vellore","3-5 years","3 LPA","Lab Testing;Equipment Handling","Lab Technician needed at HCLTech in Vellore. Skills required: Lab Testing;Equipment Handling. Immediate joiner preferred."
"Lab Technician","SRM Hospital","Chennai","1-3 years","3 LPA","lab diagnostics;sample handling","Lab Technician role for diagnostics, testing, and reporting."
"Lab Technician","Sundaram Finance","Coimbatore","0-1 years","6 LPA","Lab Testing;Equipment Handling","Lab Technician needed at Sundaram Finance in Coimbatore. Skills required: Lab Testing;Equipment Handling. Immediate joiner preferred."
"Lab Technician","Tech Mahindra","Tiruchirappalli","2-4 years","2 LPA","Lab Testing;Equipment Handling","Lab Technician needed at Tech Mahindra in Tiruchirappalli. Skills required: Lab Testing;Equipment Handling. Immediate joiner preferred."
"Lab Technician","TVS Motor","Coimbatore","3-5 years","5 LPA","Lab Testing;Equipment Handling","Lab Technician needed at TVS Motor in Coimbatore. Skills required: Lab Testing;Equipment Handling. Immediate joiner preferred."
"Mechanical Engineer","Ashok Leyland","Erode","2-4 years","4 LPA","AutoCAD;SolidWorks;Maintenance","Mechanical Engineer needed at Ashok Leyland in Erode. Skills required: AutoCAD;SolidWorks;Maintenance. Immediate joiner preferred."
"Mechanical Engineer","Ashok Leyland","Madurai","3-5 years","2 LPA","AutoCAD;SolidWorks;Maintenance","Mechanical Engineer needed at Ashok Leyland in Madurai. Skills required: AutoCAD;SolidWorks;Maintenance. Immediate joiner preferred."
"Mechanical Engineer","TVS Motors","Hosur","2-4 years","6 LPA","cad;manufacturing;quality","Mechanical Engineer role in automotive manufacturing and quality control."
"Mechanical Engineer","Wipro","Tiruchirappalli","2-4 years","4 LPA","AutoCAD;SolidWorks;Maintenance","Mechanical Engineer needed at Wipro in Tiruchirappalli. Skills required: AutoCAD;SolidWorks;Maintenance. Immediate joiner preferred."
"Mechanical Engineer","Zoho","Tirunelveli","0-1 years","5 LPA","AutoCAD;SolidWorks;Maintenance","Mechanical Engineer needed at Zoho in Tirunelveli. Skills required: AutoCAD;SolidWorks;Maintenance. Immediate joiner preferred."
"Nurse","Apollo Hospitals","Chennai","1-4 years","4 LPA","patient care;icu;communication","Nurse role in hospital operations and patient care support."
"Nurse","Freshworks","Madurai","1-3 years","4 LPA","Patient Care;Medical Records","Nurse needed at Freshworks in Madurai. Skills required: Patient Care;Medical Records. Immediate joiner preferred."
"Nurse","Sundaram Finance","Salem","2-4 years","3 LPA","Patient Care;Medical Records","Nurse needed at Sundaram Finance in Salem. Skills required: Patient Care;Medical Records. Immediate joiner preferred."
"Nurse","Sundaram Finance","Tiruchirappalli","1-3 years","6 LPA","Patient Care;Medical Records","Nurse needed at Sundaram Finance in Tiruchirappalli. Skills required: Patient Care;Medical Records. Immediate joiner preferred."
"Nurse","TCS","Vellore","3-5 years","6 LPA","Patient Care;Medical Records","Nurse needed at TCS in Vellore. Skills required: Patient Care;Medical Records. Immediate joiner preferred."
"Nurse","Wipro","Chennai","2-4 years","4 LPA","Patient Care;Medical Records","Nurse needed at Wipro in Chennai. Skills required: Patient Care;Medical Records. Immediate joiner preferred."
"Pharmacist","Ashok Leyland","Madurai","3-5 years","6 LPA","Pharmacy;Medicine Knowledge","Pharmacist needed at Ashok Leyland in Madurai. Skills required: Pharmacy;Medicine Knowledge. Immediate joiner preferred."
"Pharmacist","MedPlus","Salem","1-3 years","3 LPA","dispensing;inventory;pharma","Pharmacist role at retail pharmacy with medicine dispensing and stock control."
"Pharmacist","TCS","Tiruchirappalli","0-1 years","6 LPA","Pharmacy;Medicine Knowledge","Pharmacist needed at TCS in Tiruchirappalli. Skills required: Pharmacy;Medicine Knowledge. Immediate joiner preferred."
"Pharmacist","TVS Motor","Madurai","0-1 years","2 LPA","Pharmacy;Medicine Knowledge","Pharmacist needed at TVS Motor in Madurai. Skills required: Pharmacy;Medicine Knowledge. Immediate joiner preferred."
"Pharmacist","TVS Motor","Tirunelveli","2-4 years","2 LPA","Pharmacy;Medicine Knowledge","Pharmacist needed at TVS Motor in Tirunelveli. Skills required: Pharmacy;Medicine Knowledge. Immediate joiner preferred."
"Project Manager","Tata Elxsi","Chennai","6-10 years","15 LPA","agile;scrum;delivery","Project Manager role leading software delivery and team coordination."
"QA Engineer","Infosys","Madurai","2-4 years","6 LPA","testing;selenium;api","QA Engineer role for manual and automation testing of enterprise apps."
"Sales Executive","Infosys","Tirunelveli","0-1 years","3 LPA","Communication;Negotiation","Sales Executive needed at Infosys in Tirunelveli. Skills required: Communication;Negotiation. Immediate joiner preferred."
"School Teacher","Freshworks","Coimbatore","2-4 years","5 LPA","Teaching;Communication","School Teacher needed at Freshworks in Coimbatore. Skills required: Teaching;Communication. Immediate joiner preferred."
"School Teacher","Freshworks","Vellore","2-4 years","5 LPA","Teaching;Communication","School Teacher needed at Freshworks in Vellore. Skills required: Teaching;Communication. Immediate joiner preferred."
"School Teacher","HCLTech","Madurai","3-5 years","2 LPA","Teaching;Communication","School Teacher needed at HCLTech in Madurai. Skills required: Teaching;Communication. Immediate joiner preferred."
"School Teacher","TVS Motor","Chennai","1-3 years","2 LPA","Teaching;Communication","School Teacher needed at TVS Motor in Chennai. Skills required: Teaching;Communication. Immediate joiner preferred."
"School Teacher","Wipro","Erode","0-1 years","6 LPA","Teaching;Communication","School Teacher needed at Wipro in Erode. Skills required: Teaching;Communication. Immediate joiner preferred."
"Software Developer","Cognizant","Chennai","1-3 years","6 LPA","Python;Java;Git","Software Developer needed at Cognizant in Chennai. Skills required: Python;Java;Git. Immediate joiner preferred."
"Software Developer","Infosys","Tirunelveli","2-4 years","5 LPA","Python;Java;Git","Software Developer needed at Infosys in Tirunelveli. Skills required: Python;Java;Git. Immediate joiner preferred."
"Software Developer","TVS Motor","Vellore","1-3 years","2 LPA","Python;Java;Git","Software Developer needed at TVS Motor in Vellore. Skills required: Python;Java;Git. Immediate joiner preferred."
"Software Developer","Zoho","Tiruchirappalli","1-3 years","4 LPA","Python;Java;Git","Software Developer needed at Zoho in Tiruchirappalli. Skills required: Python;Java;Git. Immediate joiner preferred."
"Software Engineer","TCS","Chennai","2-5 years","8 LPA","python;fastapi;sql","Software Engineer role in Chennai focused on backend APIs and database development."
"Teacher","Velammal School","Madurai","2-5 years","4 LPA","teaching;lesson planning;classroom","Teacher role for school curriculum delivery and student mentoring."
"UI UX Designer","Freshworks","Chennai","2-4 years","9 LPA","figma;wireframing;prototyping","UI UX Designer role for user research and product interface design."
"Web Developer","Ashok Leyland","Salem","0-1 years","2 LPA","HTML;CSS;JavaScript","Web Developer needed at Ashok Leyland in Salem. Skills required: HTML;CSS;JavaScript. Immediate joiner preferred."
"Web Developer","Infosys","Tirunelveli","2-4 years","3 LPA","HTML;CSS;JavaScript","Web Developer needed at Infosys in Tirunelveli. Skills required: HTML;CSS;JavaScript. Immediate joiner preferred."
"Web Developer","Tech Mahindra","Tiruchirappalli","0-1 years","6 LPA","HTML;CSS;JavaScript","Web Developer needed at Tech Mahindra in Tiruchirappalli. Skills required: HTML;CSS;JavaScript. Immediate joiner preferred."
